month,sensor_id,avg_hourly_counts,sensor_description,latitude,longitude,location,rank
August,55,472.65763052208837,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)",23
August,25,471.78466796875,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)",24
August,26,469.76772727272726,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)",25
August,9,466.98915130568355,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)",26
August,19,449.2959976105137,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)",27
August,79,438.38575268817203,Flinders St (South),-37.81794046,144.96616678,"(-37.81794046, 144.96616678)",28
August,66,421.9274193548387,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)",29
August,17,408.94007616487454,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)",30
August,30,407.6260529482551,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)",31
August,57,379.7697618225751,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)",32
August,58,376.40288978494624,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)",33
August,14,337.13028033794166,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)",34
August,18,310.6870347394541,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)",35
August,61,309.2278225806452,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)",36
August,20,301.35200119474314,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)",37
August,52,273.0809139784946,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)",38
August,23,261.86971153846156,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)",39
August,42,258.1086065573771,Grattan St-Swanston St (West),-37.80008565,144.96386412,"(-37.80008565, 144.96386412)",40
August,29,256.2132533825338,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)",41
August,59,245.67237903225808,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)",42
August,7,236.44227707006368,Birrarung Marr,-37.81862929,144.97169395,"(-37.81862929, 144.97169395)",43
August,40,234.97295026881721,Lonsdale St-Spring St (West),-37.80999341,144.97227588,"(-37.80999341, 144.97227588)",44
August,43,226.62415994623655,Monash Rd-Swanston St (West),-37.79844525,144.96411782,"(-37.79844525, 144.96411782)",45
August,36,215.92138728323698,Queen St (West),-37.81652527,144.96121063,"(-37.81652527, 144.96121063)",46
August,56,213.05833333333334,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,"(-37.81234775, 144.96153311)",47
August,67,208.0228494623656,Flinders Ln -Degraves St (South),-37.81688755,144.9656257,"(-37.81688755, 144.9656257)",48
August,72,198.26209677419354,Flinders St- ACMI,-37.81726337,144.96872809,"(-37.81726337, 144.96872809)",49
August,31,191.61974956411476,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)",50
August,63,179.7679211469534,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)",51
August,48,178.34650537634408,QVM-Queen St (East),-37.80631581,144.95866698,"(-37.80631581, 144.95866698)",52
August,50,169.72117248062017,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)",53
August,39,163.016443987667,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)",54
August,10,162.82811885084612,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)",55
August,12,162.21213155798338,New Quay,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)",56
August,54,159.64760981912144,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)",57
August,33,157.75784050179212,Flinders St-Spring St (West),-37.81483252,144.97454056,"(-37.81483252, 144.97454056)",58
August,70,140.44287634408602,Errol Street (East),-37.80456984,144.94946229,"(-37.80456984, 144.94946229)",59
August,8,137.02026005443,Webb Bridge,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)",60
August,49,136.33494623655915,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)",61
August,77,129.06854838709677,Harbour Esplanade (West) - Pedestrian path,-37.81441438,144.94433026,"(-37.81441438, 144.94433026)",62
August,37,118.59435747462584,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)",63
August,34,116.69556451612904,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)",64
