day,sensor_id,avg_hourly_counts,sensor_description,latitude,longitude,location,rank
Monday,33,168.89587659448236,Flinders St-Spring St (West),-37.81483252,144.97454056,"(-37.81483252, 144.97454056)",56
Monday,12,157.24609134556198,New Quay,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)",57
Monday,8,155.17654607675385,Webb Bridge,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)",58
Monday,70,129.3246336996337,Errol Street (East),-37.80456984,144.94946229,"(-37.80456984, 144.94946229)",59
Monday,77,128.6779761904762,Harbour Esplanade (West) - Pedestrian path,-37.81441438,144.94433026,"(-37.81441438, 144.94433026)",60
Monday,37,124.80658174097664,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)",61
Monday,48,118.80651731160896,QVM-Queen St (East),-37.80631581,144.95866698,"(-37.80631581, 144.95866698)",62
Monday,34,115.05053418803419,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)",63
Monday,54,113.41369047619048,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)",64
Monday,68,112.68469551282051,Flinders Ln -Degraves St (North),-37.81684789,144.96559789,"(-37.81684789, 144.96559789)",65
Monday,64,103.17227564102564,Royal Pde - Grattan St,-37.79949544,144.95792282,"(-37.79949544, 144.95792282)",66
Monday,62,98.72241379310344,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)",67
Monday,87,94.81944444444444,Errol St (West),-37.80454949,144.94921863,"(-37.80454949, 144.94921863)",68
Monday,51,88.0933734939759,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)",69
Monday,49,87.52627175368139,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)",70
Monday,69,86.49639423076923,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145,"(-37.81687225, 144.96559145)",71
Monday,44,86.43548564514354,Tin Alley-Swanston St (West),-37.79690473,144.96440378,"(-37.79690473, 144.96440378)",72
Monday,73,81.83522727272727,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)",73
Monday,46,80.70224358974359,Pelham St (South),-37.80240719,144.96156731,"(-37.80240719, 144.96156731)",74
Monday,27,78.65048806941432,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)",75
Monday,85,72.69404761904762,Macaulay Rd (North),-37.79432414,144.92973379,"(-37.79432414, 144.92973379)",76
Monday,11,71.68952150211993,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)",77
Monday,76,56.666666666666664,Macaulay Rd- Bellair St,-37.79453802,144.93036194,"(-37.79453802, 144.93036194)",78
Monday,86,50.958333333333336,Queensberry St - Errol St (South),-37.80309992,144.94908064,"(-37.80309992, 144.94908064)",79
Monday,78,35.99583333333333,Harbour Esplanade (West) - Bike Path,-37.81471642,144.9446508,"(-37.81471642, 144.9446508)",80
Monday,75,34.54417670682731,Spring St- Flinders st (West),-37.81515275,144.97467661,"(-37.81515275, 144.97467661)",81
Monday,71,32.571735395189,Westwood Place,-37.81235775,144.97136962,"(-37.81235775, 144.97136962)",82
Saturday,38,2600.236507936508,Flinders St-Swanston St (West),-37.81723437,144.96715033,"(-37.81723437, 144.96715033)",1
Saturday,60,1722.3555555555556,Flinders La - Swanston St (West) Temporary,-37.81668188,144.9668954,"(-37.81668188, 144.9668954)",2
Saturday,4,1457.4304314030314,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)",3
Saturday,35,1448.5625,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)",4
Saturday,41,1446.0381970970207,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)",5
Saturday,22,1241.507448680352,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)",6
Saturday,3,1211.1612822282166,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)",7
Saturday,32,1173.1882911392406,City Square,-37.81573742,144.96685718,"(-37.81573742, 144.96685718)",8
Saturday,5,1137.5263771316404,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)",9
Saturday,1,1134.5444942167546,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)",10
Saturday,2,1029.079053041654,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)",11
Saturday,84,1017.572619047619,Elizabeth St - Flinders St (East) - New footpath,-37.81798049,144.96503383,"(-37.81798049, 144.96503383)",12
Saturday,6,930.7317248829672,Flinders Street Station Underpass,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)",13
Saturday,28,903.9635393105945,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)",14
Saturday,47,779.7953518398967,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)",15
Saturday,15,756.0439895161861,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)",16
Saturday,45,707.6100917431193,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)",17
Saturday,25,688.7657463734207,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)",18
Saturday,24,642.1608620532872,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)",19
Saturday,66,636.1598487452733,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)",20
Saturday,21,636.0565213349447,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)",21
Saturday,55,632.2083195774183,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)",22
Saturday,16,626.9361111111111,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)",23
Saturday,19,606.2060847519015,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)",24
Saturday,26,571.4816443766268,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)",25
Saturday,30,532.7097657725727,Lonsdale St (South),-37.81121849,144.96656807,"(-37.81121849, 144.96656807)",26
Saturday,79,521.5316666666666,Flinders St (South),-37.81794046,144.96616678,"(-37.81794046, 144.96616678)",27
Saturday,53,510.7695294117647,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)",28
Saturday,7,464.48223615464997,Birrarung Marr,-37.81862929,144.97169395,"(-37.81862929, 144.97169395)",29
Saturday,29,442.7284629981025,St Kilda Rd-Alexandra Gardens,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)",30
Saturday,20,424.8255824413061,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)",31
Saturday,58,368.5629463374822,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)",32
Saturday,14,337.28927806475997,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)",33
Saturday,57,332.4967084306647,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)",34
Saturday,31,327.4139392300063,Lygon St (West),-37.8016968,144.96658911,"(-37.8016968, 144.96658911)",35
Saturday,65,317.916802079948,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)",36
Saturday,63,317.4939403865051,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)",37
Saturday,52,310.9168869795109,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)",38
Saturday,72,310.4296761720638,Flinders St- ACMI,-37.81726337,144.96872809,"(-37.81726337, 144.96872809)",39
Saturday,50,279.13849475632327,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)",40
Saturday,67,262.88804478208715,Flinders Ln -Degraves St (South),-37.81688755,144.9656257,"(-37.81688755, 144.9656257)",41
Saturday,12,254.2336073172239,New Quay,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)",42
Saturday,48,244.7604517869184,QVM-Queen St (East),-37.80631581,144.95866698,"(-37.80631581, 144.95866698)",43
Saturday,56,236.87079198287606,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,"(-37.81234775, 144.96153311)",44
Saturday,61,204.72579354494533,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)",45
Saturday,17,203.14481921553596,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)",46
Saturday,59,197.83306944130288,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)",47
Saturday,77,185.27046263345196,Harbour Esplanade (West) - Pedestrian path,-37.81441438,144.94433026,"(-37.81441438, 144.94433026)",48
Saturday,49,183.53500331785003,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)",49
Saturday,37,182.14151639776443,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)",50
Saturday,40,175.623044397463,Lonsdale St-Spring St (West),-37.80999341,144.97227588,"(-37.80999341, 144.97227588)",51
Saturday,36,173.1514686540991,Queen St (West),-37.81652527,144.96121063,"(-37.81652527, 144.96121063)",52
Saturday,23,162.95058909489453,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)",53
Saturday,27,151.58447283195395,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)",54
Saturday,70,151.33856812933024,Errol Street (East),-37.80456984,144.94946229,"(-37.80456984, 144.94946229)",55
Saturday,68,125.68972411035585,Flinders Ln -Degraves St (North),-37.81684789,144.96559789,"(-37.81684789, 144.96559789)",56
Saturday,62,121.98536585365854,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)",57
Saturday,11,118.82828039298415,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)",58
Saturday,87,117.68981481481481,Errol St (West),-37.80454949,144.94921863,"(-37.80454949, 144.94921863)",59
Saturday,34,116.60406852248394,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)",60
Saturday,51,114.0451290591174,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)",61
Saturday,8,108.67929940192847,Webb Bridge,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)",62
Saturday,69,102.38944422231107,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145,"(-37.81687225, 144.96559145)",63
Saturday,18,100.86839654851326,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)",64
Saturday,33,97.78206264775413,Flinders St-Spring St (West),-37.81483252,144.97454056,"(-37.81483252, 144.97454056)",65
Saturday,42,93.33430362740708,Grattan St-Swanston St (West),-37.80008565,144.96386412,"(-37.80008565, 144.96386412)",66
Saturday,39,90.56461275139067,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)",67
Saturday,9,86.69217380866642,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)",68
Saturday,85,81.50833333333334,Macaulay Rd (North),-37.79432414,144.92973379,"(-37.79432414, 144.92973379)",69
Saturday,13,80.66526778577138,Flagstaff Station,-37.81239679,144.95652653,"(-37.81239679, 144.95652653)",70
Saturday,73,79.25426944971537,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)",71
Saturday,54,76.87314172447968,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)",72
Saturday,10,75.48713942307693,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)",73
Saturday,43,70.04858934169279,Monash Rd-Swanston St (West),-37.79844525,144.96411782,"(-37.79844525, 144.96411782)",74
