sensor_id,after_lockdown_avg_hourly_counts,sensor_description,latitude,longitude,location,lockdown_avg_hourly_counts,growth_avg_hourly_counts,percent_growth
37,113.21910793693573,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)",48.62849979105725,64.59060814587848,132.8245955014155
48,154.4102798053528,QVM-Queen St (East),-37.80631581,144.95866698,"(-37.80631581, 144.95866698)",96.92989381976587,57.48038598558692,59.30098932375552
43,87.94743883792049,Monash Rd-Swanston St (West),-37.79844525,144.96411782,"(-37.79844525, 144.96411782)",31.12551048189491,56.82192835602558,182.55741826010455
27,109.13709786887472,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)",62.315527262662606,46.82157060621211,75.13628250124114
51,102.20265700483091,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)",61.2953642384106,40.90729276642031,66.73798789629485
49,129.82971014492753,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)",90.38143207187585,39.44827807305168,43.646440611474745
8,147.11938221789342,Webb Bridge,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)",111.79659632402995,35.32278589386347,31.595582562714448
46,54.05555555555556,Pelham St (South),-37.80240719,144.96156731,"(-37.80240719, 144.96156731)",20.97851045039741,33.07704510515815,157.67108529162303
64,83.47485632183908,Royal Pde - Grattan St,-37.79949544,144.95792282,"(-37.79949544, 144.95792282)",55.61787521079258,27.8569811110465,50.08638141149427
70,152.0549363057325,Errol Street (East),-37.80456984,144.94946229,"(-37.80456984, 144.94946229)",126.21939665918724,25.835539646545257,20.468755461021086
10,51.422946985446984,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)",26.817464710766675,24.60548227468031,91.75170934335824
75,47.498009554140125,Spring St- Flinders st (West),-37.81515275,144.97467661,"(-37.81515275, 144.97467661)",24.296712328767125,23.201297225373,95.49150893926846
44,39.91372202591284,Tin Alley-Swanston St (West),-37.79690473,144.96440378,"(-37.79690473, 144.96440378)",18.352551724137932,21.561170301774908,117.48322863145448
78,49.291003184713375,Harbour Esplanade (West) - Bike Path,-37.81471642,144.9446508,"(-37.81471642, 144.9446508)",34.78271954674221,14.508283637971168,41.711182526928184
77,151.22757430997876,Harbour Esplanade (West) - Pedestrian path,-37.81441438,144.94433026,"(-37.81441438, 144.94433026)",139.58101983002834,11.646554479950424,8.343938519816488
71,33.81283930510315,Westwood Place,-37.81235775,144.97136962,"(-37.81235775, 144.97136962)",26.194724592707527,7.61811471239562,29.08262954028714
34,35.35353535353536,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)",30.20065341682548,5.152881936709875,17.0621538070401
76,55.996284501061574,Macaulay Rd- Bellair St,-37.79453802,144.93036194,"(-37.79453802, 144.93036194)",58.126345609065154,-2.1300611080035807,-3.6645364260976088
