sensor_id,day,time,avg_hourly_counts,sensor_description,latitude,longitude,location
16,Wednesday,8,937.3684210526316,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,9,944.2255639097745,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,10,1165.6052631578948,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,11,1503.8646616541353,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,12,2469.46992481203,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,13,2654.6729323308273,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,14,1815.6691729323309,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,15,1553.8947368421052,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,16,1415.172932330827,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,17,1351.0375939849623,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,18,769.2857142857143,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,19,420.68045112781954,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,20,272.6578947368421,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,21,216.63533834586465,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,22,166.13533834586465,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Wednesday,23,97.27067669172932,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
